-0.008377, 0.014323
-0.009230, 0.015782
-0.010828, 0.018515
-0.013715, 0.023450
-0.018724, 0.032015
-0.023120, 0.039531
-0.030833, 0.052720
-0.037645, 0.064367
-0.049638, 0.084875
-0.060243, 0.103009
-0.069918, 0.119554
-0.087358, 0.149379
-0.103021, 0.176167
-0.117417, 0.200790
-0.143484, 0.245380
-0.166924, 0.285483
-0.188435, 0.322294
-0.227208, 0.388662
-0.261793, 0.447885
-0.293240, 0.501761
-0.349081, 0.597494
-0.397822, 0.681143
-0.441122, 0.755539
-0.480004, 0.822435
-0.547073, 0.938094
-0.602570, 1.034187
-0.648530, 1.114217
-0.686231, 1.180410
